Metabolite	Formula	Labeling	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	is_global_winner	RT	RT_min	RT_max	RT_range	detections	S10141	S10142	S10143	S10144	S10145	S10146	S10147	S10148	S10149	S10150	S10151	S10152	S10153	S10154	S10155	S10156	S10157	S10158	S10159	S10160	S10161	S10162	SQ564_Blank_0	SQ564_Blank_1	SQ564_Blank_2	SQ564_Blank_3	SQ564_Blank_4	SQ564_Blank_5	SQ564_Blank_6	SQ564_Blank_7	SQ564_LQC_0	SQ564_LQC_1	SQ564_LQC_2	SQ564_LQC_3
"plasmenyl-PE 38:4; [M-H]-; PE(P-18:0/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C43H78NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M-H]-	13.1	14.1	10.0	1.0	768.6047	768.6057	1.3	S10148	Yes	13.95	13.95	13.95	0.00	1	0	0	0	0	0	0	0	7285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PC 40:8; [M+Na]+; GPCho(20:4(5E,8E,11E,14E)/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C48H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	13.8	14.8	10.0	1.0	870.6118	870.6066	-5.9	S10156	Yes	14.77	14.27	14.77	0.50	9	0	5590	0	6869	0	0	0	0	0	0	0	0	0	0	0	16958	0	0	15865	10332	13300	0	6297	0	0	0	0	0	4806	0	13133	0	0	0
TG 48:2; [M+NH4]+; TG(14:0/16:1/18:1)-13C,13C-0,18	C51H94O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	14.9	15.9	10.0	1.0	838.7993	838.7951	-5.0	S10143	Yes	15.44	15.44	15.76	0.31	2	0	0	4190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3144	0	0	0	0	0	0	0	0	0	0	0	0
TG 56:3; [M+NH4]+; TG(18:0/18:2/20:1)-13C,13C-0,18	C59H108O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	15.1	16.1	10.0	1.0	948.9088	948.9084	-0.4	S10147	Yes	15.31	15.31	15.81	0.50	2	0	0	0	0	0	0	4653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3973	0	0	0	0	0	0	0	0	0
TG 54:3; [M+NH4]+; TG(16:0/18:2/20:1)-13C,13C-0,18	C57H104O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	15.5	16.5	10.0	1.0	920.8775	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PC 36:5; [M-Ac-H]-; GPCho(16:0/20:5(5Z,8Z,11Z,14Z,17Z))"-13C,13C-0,18	C44H78NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	16.7	17.7	10.0	1.0	856.6207	856.6151	-6.6	S10157	Yes	16.80	16.80	16.80	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PA 28:2; [M-H]-; GPA(14:1(9Z)/14:1(9Z))-13C,13C-0,18	C31H57O8P-13C,13C-0,18	"13C[0],13C[18]"	[M-H]-	16.7	17.7	10.0	1.0	605.4322	605.4267	-9.1	S10161	Yes	17.03	17.03	17.03	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2466	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 52:4; [M+NH4]+; TG(16:0/18:2/18:2)-13C,13C-0,18	C55H98O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.0	18.0	10.0	1.0	890.8306	890.8278	-3.1	S10154	Yes	17.84	17.64	17.93	0.29	16	0	0	331256	138671	132635	139939	133826	204097	0	0	0	313860	153889	347457	161638	69914	26036	64111	71596	0	25999	0	0	0	0	0	0	0	0	0	0	3995	0	0
TG 58:10; [M+NH4]+; TG(16:0/20:4/22:6)-13C,13C-0,18	C61H98O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.0	18.0	10.0	1.0	962.8306	962.8289	-1.7	S10143	Yes	17.33	17.33	18.00	0.67	29	0	0	54379	15354	19579	21578	17823	24310	5316	0	9133	29301	23321	27850	16801	17034	14726	10034	14616	0	11438	0	11681	10797	8683	8485	6687	8612	6983	10305	10122	7313	9405	8225
"PC 36:4; [M-Ac-H]-; GPCho(16:0/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C44H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	17.1	18.1	10.0	1.0	858.6364	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DG 36:4; [M+NH4]+; DG(18:2/18:2/0:0)-13C,13C-0,18	C39H68O5-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.1	18.1	10.0	1.0	652.6009	652.6035	4.0	S10148	Yes	17.64	17.18	17.64	0.46	3	0	0	0	0	0	0	0	19256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3735	0	0	0	0	0	0	4022
TG 52:5; [M+NH4]+; TG(16:1/18:2/18:2)-13C,13C-0,18	C55H96O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.1	18.1	10.0	1.0	888.8149	888.8127	-2.5	S10143	Yes	17.58	17.58	17.88	0.30	13	0	0	99113	60937	56159	72226	16796	72489	0	0	0	61567	55078	97827	71502	41924	54847	0	67405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 58:10; [M+NH4]+; TG(18:2/18:2/22:6)-13C,13C-0,18	C61H98O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.1	18.1	10.0	1.0	962.8306	962.8289	-1.7	S10143	Yes	17.33	17.33	18.10	0.78	29	0	0	54379	15354	19579	21578	17823	24310	5316	0	9133	29301	23321	27850	16801	17034	14726	10034	14616	0	11438	0	11681	11923	9019	10312	11147	12274	8257	10305	10122	7313	10730	8225
DG 38:3; [M+NH4]+; DG(18:2/20:1/0:0)-13C,13C-0,18	C41H74O5-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.2	18.2	10.0	1.0	682.6478	682.6485	1.0	S10152	Yes	17.90	17.90	18.00	0.11	5	0	0	0	0	0	0	0	0	0	0	0	24527	19703	0	7124	0	0	0	0	0	8620	0	0	0	0	0	0	0	0	0	0	0	0	3733
TG 54:6; [M+NH4]+; TG(16:0/16:0/22:6)-13C,13C-0,18	C57H98O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.2	18.2	10.0	1.0	914.8306	914.8315	1.0	S10154	Yes	17.61	17.60	17.81	0.21	14	0	0	172470	81020	105966	101959	70911	112438	0	0	0	139789	64588	175095	86562	68427	25088	39535	36974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PC 38:6; [M-Ac-H]-; GPCho(18:2(2E,4E)/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C46H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	17.4	18.4	10.0	1.0	882.6364	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 51:1; [M+NH4]+; TG(16:0/17:0/18:1)-13C,13C-0,18	C54H102O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.4	18.4	10.0	1.0	882.8619	882.8534	-9.6	S10152	Yes	18.26	18.10	18.26	0.16	2	0	0	0	0	0	0	0	0	0	0	0	8481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4965	0	0	0
TG 53:2; [M+NH4]+; TG(16:0/18:2/19:0)-13C,13C-0,18	C56H104O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.5	18.5	10.0	1.0	908.8775	908.8766	-1.0	S10143	Yes	18.50	18.49	18.50	0.00	2	0	0	6816	0	0	0	0	0	0	0	0	5068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 58:8; [M+NH4]+; TG(18:1/18:1/22:6)-13C,13C-0,18	C61H102O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.6	18.6	10.0	1.0	966.8619	966.8621	0.3	S10143	Yes	17.90	17.89	18.57	0.68	18	0	10341	257693	30055	86501	109263	167708	255495	18997	10361	4735	165613	110457	147980	0	37429	77397	100591	44564	0	0	0	5203	0	0	0	0	0	0	0	0	0	0	0
"PC 40:8; [M-Ac-H]-; GPCho(18:2(2E,4E)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"-13C,13C-0,18	C48H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	17.8	18.8	10.0	1.0	906.6364	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 54:5; [M+NH4]+; TG(18:1/18:2/18:2)-13C,13C-0,18	C57H100O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.9	18.9	10.0	1.0	916.8462	916.8470	0.9	S10152	Yes	17.86	17.86	18.07	0.21	16	0	0	327801	207066	289848	323210	410778	390646	0	0	0	589004	321065	379244	210710	199523	152532	136612	211023	41041	25206	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 54:6; [M+NH4]+; TG(18:2/18:2/18:2)-13C,13C-0,18	C57H98O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.9	18.9	10.0	1.0	914.8306	914.8393	9.6	S10154	Yes	18.56	18.04	18.69	0.65	8	0	0	0	9247	0	4798	4961	0	0	0	0	11523	10744	13248	11902	0	0	0	10804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 36:3; [M+Na]+; GPEtn(14:1(9Z)/22:2(13Z,16Z))"-13C,13C-0,18	C41H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	18.0	19.0	10.0	1.0	782.5805	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 53:4; [M+NH4]+; TG(17:0/18:2/18:2)-13C,13C-0,18	C56H100O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	1.6	2.6	10.0	1.0	904.8462	904.8533	7.8	SQ564_LQC_1	Yes	1.69	1.69	2.51	0.82	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2897	0	0	3089	0	2818	0	0	0	3762	0	0
TG 56:9; [M+NH4]+; TG(18:2/18:2/20:5)-13C,13C-0,18	C59H96O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	1.7	2.7	10.0	1.0	936.8149	936.8127	-2.4	S10157	Yes	2.26	1.86	2.64	0.78	8	0	0	0	0	4767	0	0	0	0	0	0	0	0	0	0	0	5493	0	2743	4342	0	0	2424	2666	0	0	0	0	3305	0	0	0	2839	0
TG 50:1; [M+NH4]+; TG(16:0/16:0/18:1)-13C,13C-0,18	C53H100O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	1.9	2.9	10.0	1.0	868.8462	868.8443	-2.2	SQ564_LQC_0	Yes	1.98	1.94	2.71	0.77	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2446	0	2774	0	0	3454	3364	2913	0	2595	2448	2689	0	4557	0	0	0
TG 53:2; [M+NH4]+; TG(17:0/18:1/18:1)-13C,13C-0,18	C56H104O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	2.0	3.0	10.0	1.0	908.8775	908.8759	-1.8	S10143	Yes	2.57	2.31	2.89	0.58	8	0	0	5811	0	0	0	0	0	0	0	0	0	2641	0	0	0	4093	0	2413	0	0	0	0	0	3238	3009	2863	0	0	0	0	2948	0	0
TG 54:4; [M+NH4]+; TG(16:0/18:1/20:3)-13C,13C-0,18	C57H102O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	2.1	3.1	10.0	1.0	918.8619	918.8606	-1.4	S10155	Yes	2.65	2.24	2.67	0.43	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3562	0	0	0	0	0	0	0	2649	0	2584	0	0	0	0	2753	0	0	2568	0
"PC 38:5; [M-Ac-H]-; GPCho(18:1(11E)/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C46H82NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	2.3	3.3	10.0	1.0	884.6520	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PC 34:1; [M-Ac-H]-; GPCho(16:0/18:1(11E))-13C,13C-0,18	C42H82NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	3.3	4.3	10.0	1.0	836.6520	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 52:4; [M+NH4]+; TG(16:0/18:1/18:3)-13C,13C-0,18	C55H98O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	3.7	4.7	10.0	1.0	890.8306	890.8241	-7.2	S10150	Yes	3.70	3.70	4.44	0.74	5	0	0	0	0	2887	0	0	0	0	23524	0	0	0	0	0	0	0	0	3185	0	0	0	0	3512	0	0	0	2453	0	0	0	0	0	0
"PC 40:5; [M-Ac-H]-; GPCho(20:1(11E)/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C48H86NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	9.2	10.2	10.0	1.0	912.6833	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SM 42:2; [M]+; SM(d16:1(4E)/26:1(17Z))-13C,13C-0,18	C47H94N2O6P-13C,13C-0,18	"13C[0],13C[18]"	[M]+	9.6	10.6	10.0	1.0	831.7448	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SM 39:1; [M]+; SM(d15:0/24:1(15Z))-13C,13C-0,18	C44H90N2O6P-13C,13C-0,18	"13C[0],13C[18]"	[M]+	9.7	10.7	10.0	1.0	791.7135	791.7213	9.9	S10142	Yes	10.02	10.02	10.02	0.00	1	0	3791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PC 36:5; [M-Ac-H]-; GPCho(16:1(7Z)/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C44H78NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	9.8	10.8	10.0	1.0	856.6207	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SM 40:1; [M]+; SM(d14:0/26:1(17Z))-13C,13C-0,18	C45H92N2O6P-13C,13C-0,18	"13C[0],13C[18]"	[M]+	9.8	10.8	10.0	1.0	805.7291	805.7328	4.5	S10162	Yes	10.11	10.11	10.34	0.23	5	5267	0	0	6198	0	0	0	0	0	6155	4842	0	0	0	0	0	0	0	0	0	0	17907	0	0	0	0	0	0	0	0	0	0	0	0
"PC 38:4; [M-Ac-H]-; GPCho(18:0/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C46H84NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	10.2	11.2	10.0	1.0	886.6677	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PC 38:6; [M-Ac-H]-; GPCho(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"-13C,13C-0,18	C46H80NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	10.2	11.2	10.0	1.0	882.6364	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PC 40:7; [M-Ac-H]-; GPCho(18:1(11E)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"-13C,13C-0,18	C48H82NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	10.9	11.9	10.0	1.0	908.6520	908.6525	0.5	S10161	Yes	11.76	11.73	11.82	0.09	10	0	0	0	0	0	0	0	0	0	0	0	7806	4371	10974	4688	10844	5066	12932	7957	11639	15414	0	0	0	0	0	0	0	0	0	0	0	0	0
SM 34:1; [M]+; SM(d14:1(4E)/20:0)-13C,13C-0,18	C39H80N2O6P-13C,13C-0,18	"13C[0],13C[18]"	[M]+	11.7	12.7	10.0	1.0	721.6352	721.6324	-3.9	S10155	Yes	12.66	11.88	12.66	0.78	9	0	2496	0	0	0	0	0	0	0	0	0	0	0	4177	11046	0	0	0	0	0	0	0	2916	2088	3105	2991	0	0	2885	0	0	0	0	4107
"plasmenyl-PC 36:3; [M+Na]+; PC(P-18:0/18:3(6Z,9Z,12Z))"-13C,13C-0,18	C44H82NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	11.8	12.8	10.0	1.0	808.6325	808.6284	-5.1	S10160	Yes	12.01	12.01	12.01	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2907	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SM 40:2; [M]+; SM(d14:1(4E)/26:1(17Z))-13C,13C-0,18	C45H90N2O6P-13C,13C-0,18	"13C[0],13C[18]"	[M]+	11.9	12.9	10.0	1.0	803.7135	803.7177	5.2	S10147	Yes	12.48	11.92	12.48	0.56	4	0	0	0	0	0	0	5802	0	0	0	0	3876	0	0	0	2725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3261	0
"plasmenyl-PC 38:4; [M+Na]+; PC(P-18:0/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C46H84NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	12.2	13.2	10.0	1.0	834.6482	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"plasmenyl-PC 36:3; [M+Na]+; PC(P-16:0/20:3(5Z,8Z,11Z))"-13C,13C-0,18	C44H82NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	12.2	13.2	10.0	1.0	808.6325	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"plasmenyl-PC 38:4; [M+Na]+; PC(P-16:0/22:4(7Z,10Z,13Z,16Z))"-13C,13C-0,18	C46H84NO7P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	12.2	13.2	10.0	1.0	834.6482	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PC 36:2; [M-Ac-H]-; GPCho(18:1(11E)/18:1(11E))-13C,13C-0,18	C44H84NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	12.3	13.3	10.0	1.0	862.6677	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SM 42:1; [M]+; SM(d16:0/26:1(17Z))-13C,13C-0,18	C47H96N2O6P-13C,13C-0,18	"13C[0],13C[18]"	[M]+	13.1	14.1	10.0	1.0	833.7604	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SM 41:1; [M]+; SM(d15:0/26:1(17Z))-13C,13C-0,18	C46H94N2O6P-13C,13C-0,18	"13C[0],13C[18]"	[M]+	13.2	14.2	10.0	1.0	819.7448	819.7374	-9.0	S10145	Yes	13.76	13.76	13.76	0.00	1	0	0	0	0	11277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SM 41:2; [M]+; SM(d15:1(4E)/26:1(17Z))-13C,13C-0,18	C46H92N2O6P-13C,13C-0,18	"13C[0],13C[18]"	[M]+	13.2	14.2	10.0	1.0	817.7291	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 38:5; [M+Na]+; GPEtn(14:1(9Z)/24:4(5Z,8Z,11Z,14Z))"-13C,13C-0,18	C43H76NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+Na]+	13.7	14.7	10.0	1.0	806.5805	806.5731	-9.1	S10160	Yes	14.14	14.10	14.55	0.45	34	369474	387216	260636	419397	166318	282770	147425	245984	249137	171988	365353	103076	456476	281544	371127	458309	358042	478363	352052	590984	503239	436753	32653	41266	33727	42896	43655	38933	47259	39693	34264	41784	34019	36814
SM 36:1; [M]+; SM(d14:1(4E)/22:0)-13C,13C-0,18	C41H84N2O6P-13C,13C-0,18	"13C[0],13C[18]"	[M]+	13.8	14.8	10.0	1.0	749.6665	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SM 40:0; [M]+; SM(d14:0/26:0)-13C,13C-0,18	C45H94N2O6P-13C,13C-0,18	"13C[0],13C[18]"	[M]+	13.8	14.8	10.0	1.0	807.7448	807.7387	-7.5	S10159	Yes	14.40	13.82	14.40	0.58	2	0	0	0	0	0	0	0	0	0	0	6512	0	0	0	0	0	0	0	11164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PC 36:2; [M-Ac-H]-; GPCho(16:0/20:2(11Z,14Z))"-13C,13C-0,18	C44H84NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	13.9	14.9	10.0	1.0	862.6677	862.6680	0.4	S10158	Yes	14.06	14.03	14.87	0.85	16	0	0	0	0	4240	2465	0	0	2846	0	0	29870	31958	20329	0	23069	30221	43549	0	7245	25407	0	3514	0	0	0	0	4621	4322	0	0	4820	0	7790
SM 36:2; [M]+; SM(d18:1(4E)/18:1(9Z))-13C,13C-0,18	C41H82N2O6P-13C,13C-0,18	"13C[0],13C[18]"	[M]+	13.9	14.9	10.0	1.0	747.6509	747.6581	9.6	S10159	Yes	14.61	14.46	14.87	0.41	11	0	0	0	0	0	0	0	0	5247	0	0	0	0	0	0	4129	0	0	7925	0	7121	0	0	5892	4238	0	0	3878	0	3963	0	5004	7886	7738
TG 52:5; [M+NH4]+; TG(16:0/18:2/18:3)-13C,13C-0,18	C55H96O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	14.0	15.0	10.0	1.0	888.8149	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PC 34:0; [M-Ac-H]-; GPCho(16:0/18:0)-13C,13C-0,18	C42H84NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	17.2	18.2	10.0	1.0	838.6677	838.6599	-9.3	SQ564_Blank_4	Yes	17.25	17.22	17.36	0.14	17	0	0	0	0	0	6793	0	0	0	0	5490	4491	5221	5167	3684	0	0	5147	4091	0	0	4243	6743	7542	5286	0	7912	5187	0	0	5285	6558	4800	0
TG 56:8; [M+NH4]+; TG(18:2/18:2/20:4)-13C,13C-0,18	C59H98O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.5	18.5	10.0	1.0	938.8306	938.8289	-1.8	S10148	Yes	17.50	17.50	18.47	0.98	17	0	0	41868	12219	40438	41019	60931	109368	0	13569	0	38038	33917	49047	31262	38236	20103	22878	25582	43642	34502	0	0	0	0	0	0	0	0	0	0	0	0	0
"PC 40:5; [M-Ac-H]-; GPCho(18:0/22:5(4Z,7Z,10Z,13Z,16Z))"-13C,13C-0,18	C48H86NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	17.6	18.6	10.0	1.0	912.6833	912.6791	-4.7	SQ564_LQC_3	Yes	17.97	17.80	18.58	0.78	12	0	0	0	4365	3950	0	0	0	4944	0	0	0	4416	0	3191	3406	0	0	0	0	0	0	0	5073	0	4964	0	0	4005	5751	0	0	5141	6077
SM 38:1; [M]+; SM(d14:0/24:1(15Z))-13C,13C-0,18	C43H88N2O6P-13C,13C-0,18	"13C[0],13C[18]"	[M]+	17.8	18.8	10.0	1.0	777.6978	777.6919	-7.6	S10141	Yes	18.11	18.11	18.11	0.00	1	41569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 60:12; [M+NH4]+; TG(18:2/20:4/22:6)-13C,13C-0,18	C63H98O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	17.9	18.9	10.0	1.0	986.8306	986.8219	-8.8	S10160	Yes	18.59	18.48	18.59	0.12	22	77431	70046	42723	21740	24542	56106	23777	58293	26890	21654	41052	51914	53494	129995	102131	71221	54110	46562	71879	261419	133288	129537	0	0	0	0	0	0	0	0	0	0	0	0
SM 34:2; [M]+; SM(d16:1(4E)/18:1(9Z))-13C,13C-0,18	C39H78N2O6P-13C,13C-0,18	"13C[0],13C[18]"	[M]+	18.2	19.2	10.0	1.0	719.6196	719.6265	9.6	S10141	Yes	18.40	18.24	18.99	0.76	16	61263	0	0	34707	0	0	0	0	47470	59181	0	0	14956	0	31868	0	40392	0	22260	0	35626	26420	16058	0	0	0	0	15982	0	0	16642	46666	14202	13689
"PC 39:4; [M-Ac-H]-; GPCho(19:0/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C47H86NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+C2H4O2-H]-	1.9	2.9	10.0	1.0	900.6833	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
