Metabolite	Formula	Polarity (z)	Labeling	Ion Mode	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	is_global_winner	RT	RT_min	RT_max	RT_range	detections	S04426	S04427	S04428	S04429	S04430	S04431	S04432	S04433	S04434	S04435	SQ319_B_0	SQ319_B_1	SQ319_B_2	SQ319_B_3	SQ319_B_4	SQ319_B_5
NADPH-13C-15	C21H30N7O17P3-13C-15	-	13C	ESI	13.0	15.0	10.0	0.2	759.1341	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADPH-13C-16	C21H30N7O17P3-13C-16	-	13C	ESI	13.0	15.0	10.0	0.2	760.1375	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADPH-13C-17	C21H30N7O17P3-13C-17	-	13C	ESI	13.0	15.0	10.0	0.2	761.1409	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADPH-13C-18	C21H30N7O17P3-13C-18	-	13C	ESI	13.0	15.0	10.0	0.2	762.1442	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADPH-13C-19	C21H30N7O17P3-13C-19	-	13C	ESI	13.0	15.0	10.0	0.2	763.1476	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADPH-13C-20	C21H30N7O17P3-13C-20	-	13C	ESI	13.0	15.0	10.0	0.2	764.1509	764.1442	-8.8	SQ319_B_4	No	14.84	14.84	14.84	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2282	0
NADPH-13C-21	C21H30N7O17P3-13C-21	-	13C	ESI	13.0	15.0	10.0	0.2	765.1543	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-0	C23H38N7O17P3S-13C-0	+	13C	ESI	8.0	11.0	10.0	0.2	810.1331	810.1285	-5.6	S04432	No	9.51	9.51	9.51	0.00	1	0	0	0	0	0	0	5745	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-1	C23H38N7O17P3S-13C-1	+	13C	ESI	8.0	11.0	10.0	0.2	811.1364	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-2	C23H38N7O17P3S-13C-2	+	13C	ESI	8.0	11.0	10.0	0.2	812.1398	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-3	C23H38N7O17P3S-13C-3	+	13C	ESI	8.0	11.0	10.0	0.2	813.1431	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-4	C23H38N7O17P3S-13C-4	+	13C	ESI	8.0	11.0	10.0	0.2	814.1465	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-5	C23H38N7O17P3S-13C-5	+	13C	ESI	8.0	11.0	10.0	0.2	815.1498	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-6	C23H38N7O17P3S-13C-6	+	13C	ESI	8.0	11.0	10.0	0.2	816.1532	816.1526	-0.7	SQ319_B_1	No	9.48	9.48	9.48	0.00	1	0	0	0	0	0	0	0	0	0	0	0	2347	0	0	0	0
Acetyl-CoA-13C-7	C23H38N7O17P3S-13C-7	+	13C	ESI	8.0	11.0	10.0	0.2	817.1565	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-8	C23H38N7O17P3S-13C-8	+	13C	ESI	8.0	11.0	10.0	0.2	818.1599	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-9	C23H38N7O17P3S-13C-9	+	13C	ESI	8.0	11.0	10.0	0.2	819.1632	819.1662	3.6	S04428	No	9.45	9.45	9.54	0.09	2	0	0	7090	3017	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-10	C23H38N7O17P3S-13C-10	+	13C	ESI	8.0	11.0	10.0	0.2	820.1666	820.1671	0.6	S04426	No	9.15	9.15	9.62	0.47	2	4487	0	0	0	0	0	0	0	0	2768	0	0	0	0	0	0
Acetyl-CoA-13C-11	C23H38N7O17P3S-13C-11	+	13C	ESI	8.0	11.0	10.0	0.2	821.1700	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-12	C23H38N7O17P3S-13C-12	+	13C	ESI	8.0	11.0	10.0	0.2	822.1733	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-13	C23H38N7O17P3S-13C-13	+	13C	ESI	8.0	11.0	10.0	0.2	823.1767	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-14	C23H38N7O17P3S-13C-14	+	13C	ESI	8.0	11.0	10.0	0.2	824.1800	824.1864	7.7	S04433	Yes	9.37	9.37	9.37	0.00	1	0	0	0	0	0	0	0	18501	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-15	C23H38N7O17P3S-13C-15	+	13C	ESI	8.0	11.0	10.0	0.2	825.1834	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-16	C23H38N7O17P3S-13C-16	+	13C	ESI	8.0	11.0	10.0	0.2	826.1867	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-17	C23H38N7O17P3S-13C-17	+	13C	ESI	8.0	11.0	10.0	0.2	827.1901	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-18	C23H38N7O17P3S-13C-18	+	13C	ESI	8.0	11.0	10.0	0.2	828.1934	828.2004	8.4	S04431	No	9.59	9.59	9.59	0.00	1	0	0	0	0	0	2948	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-19	C23H38N7O17P3S-13C-19	+	13C	ESI	8.0	11.0	10.0	0.2	829.1968	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-20	C23H38N7O17P3S-13C-20	+	13C	ESI	8.0	11.0	10.0	0.2	830.2001	830.1967	-4.2	S04430	No	9.43	9.43	9.43	0.00	1	0	0	0	0	8203	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-21	C23H38N7O17P3S-13C-21	+	13C	ESI	8.0	11.0	10.0	0.2	831.2035	831.2023	-1.4	S04427	No	9.51	9.51	9.51	0.00	1	0	4536	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-22	C23H38N7O17P3S-13C-22	+	13C	ESI	8.0	11.0	10.0	0.2	832.2069	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA-13C-23	C23H38N7O17P3S-13C-23	+	13C	ESI	8.0	11.0	10.0	0.2	833.2102	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-0	C27H33N9O15P2-13C-0	+	13C	ESI	7.6	9.6	10.0	0.2	786.1644	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-1	C27H33N9O15P2-13C-1	+	13C	ESI	7.6	9.6	10.0	0.2	787.1678	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-2	C27H33N9O15P2-13C-2	+	13C	ESI	7.6	9.6	10.0	0.2	788.1711	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-3	C27H33N9O15P2-13C-3	+	13C	ESI	7.6	9.6	10.0	0.2	789.1745	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-4	C27H33N9O15P2-13C-4	+	13C	ESI	7.6	9.6	10.0	0.2	790.1778	790.1788	1.2	S04427	No	9.51	9.51	9.51	0.00	1	0	6910	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-5	C27H33N9O15P2-13C-5	+	13C	ESI	7.6	9.6	10.0	0.2	791.1812	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-6	C27H33N9O15P2-13C-6	+	13C	ESI	7.6	9.6	10.0	0.2	792.1845	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-7	C27H33N9O15P2-13C-7	+	13C	ESI	7.6	9.6	10.0	0.2	793.1879	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-8	C27H33N9O15P2-13C-8	+	13C	ESI	7.6	9.6	10.0	0.2	794.1913	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-9	C27H33N9O15P2-13C-9	+	13C	ESI	7.6	9.6	10.0	0.2	795.1946	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-10	C27H33N9O15P2-13C-10	+	13C	ESI	7.6	9.6	10.0	0.2	796.1980	796.2009	3.7	S04429	No	9.54	9.54	9.54	0.00	1	0	0	0	3824	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-11	C27H33N9O15P2-13C-11	+	13C	ESI	7.6	9.6	10.0	0.2	797.2013	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-12	C27H33N9O15P2-13C-12	+	13C	ESI	7.6	9.6	10.0	0.2	798.2047	798.2111	8.1	S04430	No	9.51	9.51	9.51	0.00	1	0	0	0	0	3643	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-13	C27H33N9O15P2-13C-13	+	13C	ESI	7.6	9.6	10.0	0.2	799.2080	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-14	C27H33N9O15P2-13C-14	+	13C	ESI	7.6	9.6	10.0	0.2	800.2114	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-15	C27H33N9O15P2-13C-15	+	13C	ESI	7.6	9.6	10.0	0.2	801.2147	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-16	C27H33N9O15P2-13C-16	+	13C	ESI	7.6	9.6	10.0	0.2	802.2181	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-17	C27H33N9O15P2-13C-17	+	13C	ESI	7.6	9.6	10.0	0.2	803.2214	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-18	C27H33N9O15P2-13C-18	+	13C	ESI	7.6	9.6	10.0	0.2	804.2248	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-19	C27H33N9O15P2-13C-19	+	13C	ESI	7.6	9.6	10.0	0.2	805.2282	805.2299	2.2	SQ319_B_1	No	9.21	9.21	9.21	0.00	1	0	0	0	0	0	0	0	0	0	0	0	2253	0	0	0	0
FAD-13C-20	C27H33N9O15P2-13C-20	+	13C	ESI	7.6	9.6	10.0	0.2	806.2315	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-21	C27H33N9O15P2-13C-21	+	13C	ESI	7.6	9.6	10.0	0.2	807.2349	807.2304	-5.5	SQ319_B_5	No	9.29	9.29	9.29	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2390
FAD-13C-22	C27H33N9O15P2-13C-22	+	13C	ESI	7.6	9.6	10.0	0.2	808.2382	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-23	C27H33N9O15P2-13C-23	+	13C	ESI	7.6	9.6	10.0	0.2	809.2416	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-24	C27H33N9O15P2-13C-24	+	13C	ESI	7.6	9.6	10.0	0.2	810.2449	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-25	C27H33N9O15P2-13C-25	+	13C	ESI	7.6	9.6	10.0	0.2	811.2483	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD-13C-26	C27H33N9O15P2-13C-26	+	13C	ESI	7.6	9.6	10.0	0.2	812.2516	812.2518	0.2	SQ319_B_0	No	9.43	9.43	9.43	0.00	1	0	0	0	0	0	0	0	0	0	0	2260	0	0	0	0	0
FAD-13C-27	C27H33N9O15P2-13C-27	+	13C	ESI	7.6	9.6	10.0	0.2	813.2550	813.2518	-3.9	S04432	Yes	9.31	9.31	9.31	0.00	1	0	0	0	0	0	0	20877	0	0	0	0	0	0	0	0	0
Glycine-13C-0	C2H5NO2-13C-0	+	13C	ESI	10.7	12.7	20.0	0.2	76.0393	76.0397	5.2	S04435	Yes	11.99	11.94	12.02	0.08	16	3222267	3322849	3171840	3001378	3096033	2872903	4041926	3690736	3949337	4046464	187842	174749	200553	174333	211351	184751
Glycine-13C-1	C2H5NO2-13C-1	+	13C	ESI	10.7	12.7	20.0	0.2	77.0427	77.0431	5.7	S04432	No	11.98	11.94	12.01	0.07	13	65203	55255	46326	61115	50727	57010	107726	82898	78238	78878	0	0	1997	0	2260	1323
Glycine-13C-2	C2H5NO2-13C-2	+	13C	ESI	10.7	12.7	20.0	0.2	78.0460	78.0464	4.9	S04434	No	11.99	11.94	12.02	0.08	13	1041482	1103607	1176215	1358204	1358378	1375545	2583761	2490356	2653565	2603208	1308	0	8449	0	13875	0
Hypotaurine-13C-0	C2H7NO2S-13C-0	-	13C	ESI	10.0	12.0	10.0	0.2	108.0125	108.0114	-9.9	S04435	Yes	11.26	11.20	11.33	0.12	8	22737	19610	15964	0	26289	21467	0	7191	13774	26792	0	0	0	0	0	0
Hypotaurine-13C-1	C2H7NO2S-13C-1	-	13C	ESI	10.0	12.0	10.0	0.2	109.0158	109.0161	2.5	S04429	No	11.17	11.10	11.50	0.40	4	0	0	0	6495	0	0	0	0	0	0	3504	0	0	5257	4518	0
Hypotaurine-13C-2	C2H7NO2S-13C-2	-	13C	ESI	10.0	12.0	10.0	0.2	110.0192	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taurine-13C-0	C2H7NO3S-13C-0	-	13C	ESI	10.2	12.2	10.0	0.2	124.0074	124.0061	-10.4	S04435	Yes	11.59	11.59	11.66	0.07	10	799203	161537	240593	285877	165296	390392	735481	373847	369806	934178	0	0	0	0	0	0
Taurine-13C-1	C2H7NO3S-13C-1	-	13C	ESI	10.2	12.2	10.0	0.2	125.0107	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taurine-13C-2	C2H7NO3S-13C-2	-	13C	ESI	10.2	12.2	10.0	0.2	126.0141	126.0149	6.4	SQ319_B_5	No	11.84	11.40	11.84	0.44	2	0	0	0	0	0	0	0	0	0	0	4538	0	0	0	0	5448
O-Phosphoethanolamine-13C-0	C2H8NO4P-13C-0	+	13C	ESI	11.4	13.4	10.0	0.2	142.0264	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O-Phosphoethanolamine-13C-1	C2H8NO4P-13C-1	+	13C	ESI	11.4	13.4	10.0	0.2	143.0297	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O-Phosphoethanolamine-13C-2	C2H8NO4P-13C-2	+	13C	ESI	11.4	13.4	10.0	0.2	144.0331	144.0344	9.2	S04431	Yes	13.34	13.11	13.34	0.22	2	0	0	0	0	0	1299	0	0	1087	0	0	0	0	0	0	0
Pyruvic acid-13C-0	C3H4O3-13C-0	-	13C	ESI	5.5	7.5	20.0	0.2	87.0088	87.0076	-13.4	S04432	No	5.97	5.76	6.16	0.41	16	50468	55099	55057	87247	97688	99920	139033	76021	68932	78146	123357	109626	129052	104778	75985	80347
Pyruvic acid-13C-1	C3H4O3-13C-1	-	13C	ESI	5.5	7.5	20.0	0.2	88.0121	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyruvic acid-13C-2	C3H4O3-13C-2	-	13C	ESI	5.5	7.5	20.0	0.2	89.0155	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyruvic acid-13C-3	C3H4O3-13C-3	-	13C	ESI	5.5	7.5	20.0	0.2	90.0188	90.0173	-17.0	S04432	Yes	5.97	5.88	6.16	0.28	10	119908	159954	116833	0	16760	0	510408	494411	150400	193248	0	0	0	10032	0	10603
Phosphoenolpyruvic acid-13C-0	C3H5O6P-13C-0	-	13C	ESI	13.6	15.6	10.0	0.2	166.9751	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphoenolpyruvic acid-13C-1	C3H5O6P-13C-1	-	13C	ESI	13.6	15.6	10.0	0.2	167.9785	167.9787	1.5	S04426	No	14.96	14.96	14.96	0.00	1	4820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphoenolpyruvic acid-13C-2	C3H5O6P-13C-2	-	13C	ESI	13.6	15.6	10.0	0.2	168.9818	168.9806	-7.1	S04427	No	14.86	14.86	14.86	0.00	1	0	2421	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphoenolpyruvic acid-13C-3	C3H5O6P-13C-3	-	13C	ESI	13.6	15.6	10.0	0.2	169.9852	169.9845	-3.9	S04433	Yes	14.88	14.76	15.12	0.37	8	0	0	3736	0	3744	2528	8873	19813	5656	4028	0	0	0	0	1928	0
L-Lactic acid-13C-0	C3H6O3-13C-0	-	13C	ESI	6.2	8.2	20.0	0.2	89.0244	89.0230	-15.9	S04432	No	7.15	7.08	7.16	0.07	16	4500722	4321260	3656644	2935610	3321373	2761092	7828157	5315921	4939408	4227293	1892840	1642477	1273326	1276813	1161786	1029939
L-Lactic acid-13C-1	C3H6O3-13C-1	-	13C	ESI	6.2	8.2	20.0	0.2	90.0278	90.0262	-17.5	S04432	No	7.15	7.08	7.16	0.07	13	99680	57820	23723	47726	16881	52906	232179	133696	106770	86635	0	24494	0	0	8060	10921
L-Lactic acid-13C-2	C3H6O3-13C-2	-	13C	ESI	6.2	8.2	20.0	0.2	91.0311	91.0297	-15.7	S04433	No	7.09	7.09	7.16	0.07	5	189172	326703	292806	0	0	0	474381	716212	0	0	0	0	0	0	0	0
L-Lactic acid-13C-3	C3H6O3-13C-3	-	13C	ESI	6.2	8.2	20.0	0.2	92.0345	92.0330	-16.1	S04432	Yes	7.15	7.08	7.16	0.07	10	43891136	43906052	42287132	5750076	8306760	7829050	81605528	66256860	14637888	17874904	0	0	0	0	0	0
Guanidoacetic acid-13C-0	C3H7N3O2-13C-0	+	13C	ESI	10.7	12.7	10.0	0.2	118.0611	118.0610	-0.9	S04435	Yes	12.04	11.96	12.09	0.12	16	4314464	4211652	4346680	3585641	3322770	3635761	11872612	10446403	15046120	16160164	8704	5516	9295	7303	13121	8804
Guanidoacetic acid-13C-1	C3H7N3O2-13C-1	+	13C	ESI	10.7	12.7	10.0	0.2	119.0645	119.0644	-0.5	S04435	No	12.04	12.00	12.05	0.05	11	70359	70126	49883	63607	46059	44085	329647	312639	451776	491767	0	0	0	0	1469	0
Guanidoacetic acid-13C-2	C3H7N3O2-13C-2	+	13C	ESI	10.7	12.7	10.0	0.2	120.0678	120.0677	-0.9	S04435	No	12.04	12.00	12.05	0.05	11	1555760	1586612	1653933	1574816	1358979	1517568	8507193	7530420	7716808	8525537	0	0	0	0	1316	0
Guanidoacetic acid-13C-3	C3H7N3O2-13C-3	+	13C	ESI	10.7	12.7	10.0	0.2	121.0712	121.0710	-1.4	S04434	No	12.04	12.00	12.05	0.05	8	0	0	5384	5662	6369	6591	32834	22489	33445	31041	0	0	0	0	0	0
L-Cysteine-13C-0	C3H7NO2S-13C-0	+	13C	ESI	13.0	17.0	10.0	0.2	122.0270	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Cysteine-13C-1	C3H7NO2S-13C-1	+	13C	ESI	13.0	17.0	10.0	0.2	123.0304	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Cysteine-13C-2	C3H7NO2S-13C-2	+	13C	ESI	13.0	17.0	10.0	0.2	124.0337	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Cysteine-13C-3	C3H7NO2S-13C-3	+	13C	ESI	13.0	17.0	10.0	0.2	125.0371	125.0378	5.7	S04430	Yes	16.45	16.21	16.68	0.47	16	13953	14481	13536	14388	19652	12310	14063	14948	15357	16820	17421	16738	17924	17348	17302	13971
L-Serine-13C-0	C3H7NO3-13C-0	+	13C	ESI	10.8	12.8	10.0	0.2	106.0499	106.0499	0.3	S04432	Yes	12.07	11.98	12.09	0.10	15	5130661	5322687	3948510	3823868	3535235	3156401	7074398	6018915	4250490	5836038	59004	15359	56998	0	62171	44421
L-Serine-13C-1	C3H7NO3-13C-1	+	13C	ESI	10.8	12.8	10.0	0.2	107.0532	107.0533	0.7	S04432	No	12.07	12.04	12.09	0.05	12	264982	457884	424431	297625	288512	375966	1569821	1388078	715431	979174	0	0	0	0	3060	1122
L-Serine-13C-2	C3H7NO3-13C-2	+	13C	ESI	10.8	12.8	10.0	0.2	108.0566	108.0566	0.2	S04432	No	12.07	11.84	12.09	0.24	16	54269	131026	131706	104873	78934	137160	746950	745823	310333	398646	23998	35947	27806	36927	13462	22572
L-Serine-13C-3	C3H7NO3-13C-3	+	13C	ESI	10.8	12.8	10.0	0.2	109.0599	109.0600	0.6	S04432	No	12.07	12.02	12.09	0.07	13	875162	1319583	1239710	1094852	1189702	1203545	5026178	4450638	2536612	3046408	2216	0	2807	0	7034	0
3-Phosphoglyceric acid-13C-0	C3H7O7P-13C-0	-	13C	ESI	13.0	15.0	10.0	0.2	184.9857	184.9853	-2.0	S04428	No	14.10	14.10	14.53	0.43	2	0	0	3397	0	2453	0	0	0	0	0	0	0	0	0	0	0
3-Phosphoglyceric acid-13C-1	C3H7O7P-13C-1	-	13C	ESI	13.0	15.0	10.0	0.2	185.9890	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-Phosphoglyceric acid-13C-2	C3H7O7P-13C-2	-	13C	ESI	13.0	15.0	10.0	0.2	186.9924	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-Phosphoglyceric acid-13C-3	C3H7O7P-13C-3	-	13C	ESI	13.0	15.0	10.0	0.2	187.9957	187.9945	-6.5	S04433	Yes	14.34	14.19	14.34	0.15	5	2614	0	0	0	0	0	3377	5831	2689	2476	0	0	0	0	0	0
Phosphoserine-13C-0	C3H8NO6P-13C-0	+	13C	ESI	11.5	13.5	10.0	0.2	186.0162	186.0153	-4.8	S04427	Yes	11.81	11.63	11.85	0.23	12	72789	86814	61713	69394	76541	71906	77849	63548	77832	50860	1697	0	0	0	1363	0
Phosphoserine-13C-1	C3H8NO6P-13C-1	+	13C	ESI	11.5	13.5	10.0	0.2	187.0196	187.0193	-1.4	S04434	No	11.81	11.81	11.81	0.00	1	0	0	0	0	0	0	0	0	9507	0	0	0	0	0	0	0
Phosphoserine-13C-2	C3H8NO6P-13C-2	+	13C	ESI	11.5	13.5	10.0	0.2	188.0229	188.0226	-1.6	S04427	No	11.81	11.80	11.85	0.06	6	12752	35256	6632	0	13885	0	0	0	11269	14582	0	0	0	0	0	0
Phosphoserine-13C-3	C3H8NO6P-13C-3	+	13C	ESI	11.5	13.5	10.0	0.2	189.0263	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2,3-Diphosphoglyceric acid"-13C-0	C3H8O10P2-13C-0	-	13C	ESI	12.0	15.0	10.0	0.2	264.9520	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2,3-Diphosphoglyceric acid"-13C-1	C3H8O10P2-13C-1	-	13C	ESI	12.0	15.0	10.0	0.2	265.9553	265.9568	5.5	SQ319_B_0	Yes	14.95	14.95	14.95	0.00	1	0	0	0	0	0	0	0	0	0	0	6088	0	0	0	0	0
"2,3-Diphosphoglyceric acid"-13C-2	C3H8O10P2-13C-2	-	13C	ESI	12.0	15.0	10.0	0.2	266.9587	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2,3-Diphosphoglyceric acid"-13C-3	C3H8O10P2-13C-3	-	13C	ESI	12.0	15.0	10.0	0.2	267.9621	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycerol 3-phosphate-13C-0	C3H9O6P-13C-0	-	13C	ESI	11.5	13.0	10.0	0.2	171.0064	171.0059	-2.9	S04433	No	12.18	12.09	12.26	0.17	4	0	0	0	0	0	0	2817	11653	7652	7906	0	0	0	0	0	0
Glycerol 3-phosphate-13C-1	C3H9O6P-13C-1	-	13C	ESI	11.5	13.0	10.0	0.2	172.0098	172.0092	-3.2	S04434	No	12.09	12.09	12.09	0.00	1	0	0	0	0	0	0	0	0	5582	0	0	0	0	0	0	0
